@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
266,1.0,49,0.02146764029850967,ok
75148,1.0,50,0.16780712376339424,ok
75150,1.0,51,0.2827372262773723,ok
75100,1.0,52,0.471969450763731,ok
75178,1.0,53,0.7973109734648656,ok
75236,1.0,54,0.034409865032347886,ok
75179,1.0,55,0.22797583430437018,ok
75213,1.0,56,0.12304391721352848,ok
2123,1.0,57,0.33733225404534606,ok
75227,1.0,58,0.11353019276160503,ok
75184,1.0,59,0.10096555292900067,ok
75142,1.0,60,0.07006885456586742,ok
236,1.0,61,0.03283350986870215,ok
2122,1.0,62,0.10031955380915669,ok
75188,1.0,63,0.25465315070979044,ok
75166,1.0,64,0.11618267484092926,ok
75133,1.0,65,0.47535553997194946,ok
75134,1.0,66,0.13074250327982329,ok
2119,1.0,67,?,not_applicable
75198,1.0,68,0.10989710455298729,ok
262,1.0,69,0.003853247361568335,ok
75234,1.0,70,0.023291453595197353,ok
75139,1.0,71,0.012186783945598356,ok
252,1.0,72,0.16786009770366006,ok
75117,1.0,73,0.30744498777506113,ok
75113,1.0,74,0.022381378024401988,ok
75098,1.0,75,0.03021639581489688,ok
246,1.0,76,0.0229213235809288,ok
75203,1.0,77,0.12190863406608499,ok
75237,1.0,78,0.0007586708933349229,ok
75195,1.0,79,0.0002745241581258995,ok
75171,1.0,80,0.16277465155859483,ok
75096,1.0,81,0.3259792041783962,ok
75250,1.0,82,0.38988200635127024,ok
75146,1.0,83,0.11423422872715516,ok
75116,1.0,84,0.030251800538787177,ok
75157,1.0,85,0.4496925525937948,ok
75187,1.0,86,0.01666546931409152,ok
2350,1.0,87,0.44406063775076143,ok
242,1.0,88,0.01488407707402506,ok
244,1.0,89,0.15684798572052938,ok
75125,1.0,90,0.03602168110257664,ok
75185,1.0,91,0.12428725121032813,ok
75163,1.0,92,0.06218279929012527,ok
75177,1.0,93,0.017787017787017745,ok
75189,1.0,94,0.04009886868074197,ok
75244,1.0,95,0.2466056412053259,ok
75219,1.0,96,0.045706818825849815,ok
75222,1.0,97,0.2762034514078111,ok
75159,1.0,98,0.2848189415041782,ok
75175,1.0,99,0.10010671607660104,ok
75109,1.0,100,0.29480557680218056,ok
75105,1.0,101,0.42542898868200074,ok
75106,1.0,102,0.036032486817382914,ok
75212,1.0,103,0.2460438554426958,ok
75099,1.0,104,0.3548663979698462,ok
75248,1.0,105,0.38446394984326027,ok
233,1.0,106,0.004699857031688293,ok
75235,1.0,107,0.0010558988887161558,ok
75226,1.0,108,0.006568036386672471,ok
75132,1.0,109,0.12239575211776454,ok
75127,1.0,110,0.3333234440228747,ok
251,1.0,111,0.025659630606860162,ok
75161,1.0,112,0.0629522877685984,ok
75143,1.0,113,0.01867491358263429,ok
75114,1.0,114,0.036272935779816495,ok
75182,1.0,115,0.1521555367709213,ok
75112,1.0,116,0.11591114704401972,ok
75205,1.0,117,0.18338989003469375,ok
75090,1.0,118,0.07809589144886786,ok
275,1.0,119,0.03727628024599117,ok
288,1.0,120,0.13005695720793453,ok
75092,1.0,121,0.26763939551849925,ok
3043,1.0,122,0.017787017787017745,ok
75249,1.0,123,0.017207596688807225,ok
75126,1.0,124,0.23817663817663814,ok
75225,1.0,125,0.36111074318865155,ok
75141,1.0,126,0.05606206014075499,ok
75107,1.0,127,0.10206245086109167,ok
75097,1.0,128,0.44901776231314294,ok
