@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75148,1.0,50,0.16782420628574468,ok
75150,1.0,51,0.2911563777577868,ok
75100,1.0,52,0.4562921746574198,ok
75178,1.0,53,0.7975289280739686,ok
75236,1.0,54,0.034300862181188885,ok
75179,1.0,55,0.217728567998275,ok
75213,1.0,56,0.10747329622386048,ok
2123,1.0,57,0.32642910398218794,ok
75227,1.0,58,0.11577532917151745,ok
75184,1.0,59,0.1265024456829369,ok
75142,1.0,60,0.0701020388027711,ok
236,1.0,61,0.03327882850763664,ok
2122,1.0,62,0.10843080846440323,ok
75188,1.0,63,0.2684160843579655,ok
75166,1.0,64,0.11617881371244598,ok
75133,1.0,65,0.47226684515841133,ok
75134,1.0,66,0.16269722557860544,ok
2119,1.0,67,?,not_applicable
75198,1.0,68,0.12306765854298152,ok
262,1.0,69,0.0038949653204557455,ok
75234,1.0,70,0.023341996963732625,ok
75139,1.0,71,0.012567351889314904,ok
252,1.0,72,0.16895773378812606,ok
75117,1.0,73,0.25932215725757546,ok
75113,1.0,74,0.017901614235665164,ok
75098,1.0,75,0.03026081084566723,ok
246,1.0,76,0.02303673116722904,ok
75203,1.0,77,0.11854631922562098,ok
75237,1.0,78,0.0005848615211133668,ok
75195,1.0,79,0.00023116123165145552,ok
75171,1.0,80,0.1628063604704646,ok
75096,1.0,81,0.39625756760730235,ok
75250,1.0,82,0.39540021115161217,ok
75146,1.0,83,0.11403238112265268,ok
75116,1.0,84,0.021386554621848797,ok
75157,1.0,85,0.4497161871207671,ok
75187,1.0,86,0.0168014204736624,ok
2350,1.0,87,0.4478257523366125,ok
242,1.0,88,0.015111937210011361,ok
244,1.0,89,0.1586095177020379,ok
75125,1.0,90,0.05039703756510039,ok
75185,1.0,91,0.12484459179444674,ok
75163,1.0,92,0.06280911202996586,ok
75177,1.0,93,0.04103443726085232,ok
75189,1.0,94,0.03692139221212121,ok
75244,1.0,95,0.37776914699991626,ok
75219,1.0,96,0.0466440259768639,ok
75222,1.0,97,0.23149355352745182,ok
75159,1.0,98,0.30817291455589335,ok
75175,1.0,99,0.10284993785916474,ok
75109,1.0,100,0.3297151907412682,ok
75105,1.0,101,0.4475206875279202,ok
75106,1.0,102,0.4186543905406278,ok
75212,1.0,103,0.24715205008913432,ok
75099,1.0,104,0.3440350753129199,ok
75248,1.0,105,0.3857528695660327,ok
233,1.0,106,0.004767975130531177,ok
75235,1.0,107,0.0017656080499757199,ok
75226,1.0,108,0.008162345862954501,ok
75132,1.0,109,0.5110940158820676,ok
75127,1.0,110,0.3399443510510939,ok
251,1.0,111,0.015899721290296043,ok
75161,1.0,112,0.06296884150364745,ok
75143,1.0,113,0.019130421685612853,ok
75114,1.0,114,0.03732408269171117,ok
75182,1.0,115,0.14474453981416824,ok
75112,1.0,116,0.12838098740989046,ok
75205,1.0,117,0.18365634632830707,ok
75090,1.0,118,0.08082688681944494,ok
275,1.0,119,0.03524761774075147,ok
288,1.0,120,0.13043938521923548,ok
75092,1.0,121,0.22150318718340245,ok
3043,1.0,122,0.04103443726085232,ok
75249,1.0,123,0.01947510259764962,ok
75126,1.0,124,0.19434074325470896,ok
75225,1.0,125,0.3239590544735731,ok
75141,1.0,126,0.05343043679615045,ok
75107,1.0,127,0.24356122164544525,ok
75097,1.0,128,0.4660594930089492,ok
